Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Gary Wunderlich,Ole Miss,SEC,12,41,43,95.3,22,23,95.7,107
Younghoe Koo,Georgia Southern,Sun Belt,11,28,29,96.6,19,20,95.0,85
Cole Netten,Iowa State,Big 12,12,35,37,94.6,16,17,94.1,83
Clayton Hatfield,Texas Tech,Big 12,12,65,70,92.9,13,14,92.9,104
Evan Pantels,UNLV,MWC,12,42,42,100.0,13,14,92.9,81
Jason Sanders,New Mexico,MWC,13,61,62,98.4,12,13,92.3,97
Zane Gonzalez,Arizona State,Pac-12,12,39,40,97.5,23,25,92.0,108
Emmit Carpenter,Minnesota,Big Ten,13,43,44,97.7,22,24,91.7,109
Tyler Davis,Penn State,Big Ten,14,62,62,100.0,22,24,91.7,128
John Baron,San Diego State,MWC,14,56,58,96.6,21,23,91.3,119
Austin Rehkow,Idaho,Sun Belt,13,42,44,95.5,26,29,89.7,120
Bryce Crawford,San Jose State,MWC,12,31,33,93.9,16,18,88.9,79
Aaron Boumerhi,Temple,American,9,29,30,96.7,15,17,88.2,74
Harrison Butker,Georgia Tech,ACC,13,46,46,100.0,15,17,88.2,91
Kody Kroening,Fresno State,MWC,11,23,23,100.0,15,17,88.2,68
Luke Strebel,Air Force,MWC,13,51,51,100.0,22,25,88.0,117
Daniel Carlson,Auburn,SEC,13,44,44,100.0,28,32,87.5,128
Drew Brown,Nebraska,Big Ten,13,38,38,100.0,12,14,85.7,74
Mike Knoll,Boston College,ACC,13,27,30,90.0,12,14,85.7,63
Parker Shaunfield,Southern Mississippi,CUSA,10,40,40,100.0,12,14,85.7,76
Matt Anderson,California,Pac-12,12,51,51,100.0,22,26,84.6,117
Austin Macginnis,Kentucky,SEC,13,44,45,97.8,16,19,84.2,92
Blaton Creque,Louisville,ACC,10,39,40,97.5,16,19,84.2,87
Canon Rooker,Middle Tennessee State,CUSA,13,64,66,97.0,16,19,84.2,112
Andy Phillips,Utah,Pac-12,13,43,43,100.0,21,25,84.0,106
Eddy Pineiro,Florida,SEC,13,32,32,100.0,21,25,84.0,95
Louie Zervos,Ohio,MAC,14,35,38,92.1,29,35,82.9,122
Kenneth Allen,Michigan,Big Ten,13,53,53,100.0,19,23,82.6,110
Conrad Ukropina,Stanford,Pac-12,12,34,34,100.0,22,27,81.5,100
Jonathan Barnes,Louisiana Tech,CUSA,14,77,78,98.7,22,27,81.5,143
Rhett Almond,Brigham Young,Ind,13,39,40,97.5,17,21,81.0,90
Jake Elliott,Memphis,American,13,58,58,100.0,21,26,80.8,121
Michael Badgley,Miami (FL),ACC,13,53,55,96.4,21,26,80.8,116
Redford Jones,Tulsa,American,13,67,67,100.0,21,26,80.8,130
Cameron Van Winkle,Washington,Pac-12,14,75,76,98.7,16,20,80.0,123
Ty Cummings,Houston,American,13,55,58,94.8,16,20,80.0,103
Butch Hampton,Western Michigan,MAC,14,71,73,97.3,19,24,79.2,128
Paul Fricano,Eastern Michigan,MAC,13,42,43,97.7,19,24,79.2,99
Stevie Artigue,Louisiana,Sun Belt,13,29,31,93.5,19,24,79.2,86
Michael Geiger,Michigan State,Big Ten,12,30,30,100.0,15,19,78.9,75
Morgan Hagee,Ball State,MAC,12,37,37,100.0,15,19,78.9,82
Parker Davidson,New Mexico State,Sun Belt,12,29,34,85.3,15,19,78.9,74
Tommy Openshaw,Vanderbilt,SEC,13,36,36,100.0,15,19,78.9,81
Matthew McCrane,Kansas State,Big 12,8,29,29,100.0,11,14,78.6,62
