Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
Khalil Tate,Arizona,Pac-12,11,153,1411,9.2,12,0,0,,0,153,1411,9.2,12
Darrell Henderson,Memphis,American,12,130,1154,8.9,9,24,226,9.4,2,154,1380,9.0,11
Malcolm Perry,Navy,American,12,138,1182,8.6,11,13,303,23.3,2,151,1485,9.8,13
Bryce Love,Stanford,Pac-12,13,263,2118,8.1,19,6,33,5.5,0,269,2151,8.0,19
Sony Michel,Georgia,SEC,14,156,1227,7.9,16,9,96,10.7,1,165,1323,8.0,17
Rashaad Penny,San Diego State,MWC,13,289,2248,7.8,23,19,135,7.1,2,308,2383,7.7,25
Damien Harris,Alabama,SEC,14,135,1000,7.4,11,12,91,7.6,0,147,1091,7.4,11
Kell Walker,Army,Ind,12,86,629,7.3,6,5,111,22.2,0,91,740,8.1,6
Ahmad Bradshaw,Army,Ind,13,242,1746,7.2,14,0,0,,0,242,1746,7.2,14
J.K. Dobbins,Ohio State,Big Ten,14,194,1403,7.2,7,22,135,6.1,1,216,1538,7.1,8
Travis Etienne,Clemson,ACC,13,107,766,7.2,13,5,57,11.4,0,112,823,7.3,13
Lamar Jackson,Louisville,ACC,13,232,1601,6.9,18,0,0,,0,232,1601,6.9,18
Josh Adams,Notre Dame,Ind,13,206,1430,6.9,9,13,101,7.8,0,219,1531,7.0,9
Dorian Brown,Ohio,MAC,12,111,757,6.8,11,3,16,5.3,0,114,773,6.8,11
Andrew Clair,Bowling Green State,MAC,11,107,725,6.8,4,13,129,9.9,2,120,854,7.1,6
Malik Davis,Florida,SEC,7,79,526,6.7,2,7,58,8.3,0,86,584,6.8,2
Jonathan Taylor,Wisconsin,Big Ten,14,299,1977,6.6,13,8,95,11.9,0,307,2072,6.7,13
Nathan Rourke,Ohio,MAC,13,137,907,6.6,21,3,36,12.0,1,140,943,6.7,22
Greg Howell,Florida Atlantic,CUSA,12,112,740,6.6,5,0,0,,0,112,740,6.6,5
Kani Benoit,Oregon,Pac-12,12,88,584,6.6,10,8,36,4.5,0,96,620,6.5,10
Jeffery Wilson,North Texas,CUSA,11,188,1215,6.5,16,24,168,7.0,0,212,1383,6.5,16
Jordan Wilkins,Ole Miss,SEC,12,155,1011,6.5,9,26,241,9.3,1,181,1252,6.9,10
Devin Singletary,Florida Atlantic,CUSA,14,301,1918,6.4,32,19,198,10.4,1,320,2116,6.6,33
Ty Johnson,Maryland,Big Ten,12,137,875,6.4,5,5,60,12.0,1,142,935,6.6,6
Adrian Killins,UCF,American,13,123,790,6.4,10,25,169,6.8,1,148,959,6.5,11
Lexington Thomas,UNLV,MWC,12,211,1336,6.3,17,8,143,17.9,0,219,1479,6.8,17
Tavien Feaster,Clemson,ACC,14,107,669,6.3,7,12,112,9.3,1,119,781,6.6,8
Dalyn Dawkins,Colorado State,MWC,13,226,1399,6.2,8,26,310,11.9,1,252,1709,6.8,9
Myles Gaskin,Washington,Pac-12,13,222,1380,6.2,21,19,232,12.2,3,241,1612,6.7,24
Rodney Anderson,Oklahoma,Big 12,13,188,1161,6.2,13,17,281,16.5,5,205,1442,7.0,18
Mike Weber,Ohio State,Big Ten,12,101,626,6.2,10,10,94,9.4,0,111,720,6.5,10
D.J. Knox,Purdue,Big Ten,13,90,561,6.2,2,15,138,9.2,2,105,699,6.7,4
Ty Isaac,Michigan,Big Ten,8,88,548,6.2,2,3,16,5.3,0,91,564,6.2,2
Karan Higdon,Michigan,Big Ten,13,164,994,6.1,11,8,131,16.4,0,172,1125,6.5,11
Nick Fitzgerald,Mississippi State,SEC,12,162,984,6.1,14,0,0,,0,162,984,6.1,14
Trey Sermon,Oklahoma,Big 12,13,121,744,6.1,5,16,139,8.7,2,137,883,6.4,7
Shakif Seymour,Toledo,MAC,13,116,702,6.1,12,10,104,10.4,1,126,806,6.4,13
Jamal Morrow,Washington State,Pac-12,13,86,522,6.1,4,60,506,8.4,5,146,1028,7.0,9
Royce Freeman,Oregon,Pac-12,12,244,1475,6.0,16,14,164,11.7,0,258,1639,6.4,16
Nick Chubb,Georgia,SEC,15,223,1345,6.0,15,4,30,7.5,0,227,1375,6.1,15
Justin Stockton,Texas Tech,Big 12,11,132,797,6.0,4,27,235,8.7,1,159,1032,6.5,5
Darius Anderson,Texas Christian,Big 12,10,128,768,6.0,8,9,57,6.3,0,137,825,6.0,8
Juwan Washington,San Diego State,MWC,13,127,759,6.0,7,3,39,13.0,0,130,798,6.1,7
Art Thompkins,Toledo,MAC,14,104,629,6.0,2,16,123,7.7,0,120,752,6.3,2
Jeremy Larkin,Northwestern,Big Ten,13,84,503,6.0,5,11,115,10.5,0,95,618,6.5,5
Daryl Chestnut,New Mexico,MWC,11,76,459,6.0,4,6,38,6.3,0,82,497,6.1,4
Ronald Jones,USC,Pac-12,13,261,1550,5.9,19,14,187,13.4,1,275,1737,6.3,20
Saquon Barkley,Penn State,Big Ten,13,217,1271,5.9,18,54,632,11.7,3,271,1903,7.0,21
Patrick Laird,California,Pac-12,11,191,1127,5.9,8,45,322,7.2,1,236,1449,6.1,9
Xavier Jones,SMU,American,13,182,1075,5.9,9,14,84,6.0,0,196,1159,5.9,9
Travis Homer,Miami (FL),ACC,13,163,966,5.9,8,18,219,12.2,1,181,1185,6.5,9
Squally Canada,Brigham Young,Ind,11,120,710,5.9,6,3,9,3.0,0,123,719,5.8,6
Gerrid Doaks,Cincinnati,American,9,87,513,5.9,2,14,135,9.6,1,101,648,6.4,3
Jonathan Ward,Central Michigan,MAC,13,178,1024,5.8,10,48,470,9.8,3,226,1494,6.6,13
J.J. Taylor,Arizona,Pac-12,13,146,847,5.8,5,12,49,4.1,2,158,896,5.7,7
Timothy McVey,Air Force,MWC,12,128,741,5.8,7,6,136,22.7,0,134,877,6.5,7
Jordan Huff,Northern Illinois,MAC,9,127,740,5.8,4,7,43,6.1,2,134,783,5.8,6
Shamari Brooks,Tulsa,American,9,119,687,5.8,10,1,4,4.0,0,120,691,5.8,10
McKenzie Milton,UCF,American,13,106,613,5.8,8,0,0,,0,106,613,5.8,8
Michael Carter,North Carolina,ACC,11,97,559,5.8,8,11,100,9.1,1,108,659,6.1,9
Ito Smith,Southern Mississippi,CUSA,13,248,1415,5.7,13,40,396,9.9,2,288,1811,6.3,15
Boston Scott,Louisiana Tech,CUSA,13,183,1047,5.7,8,20,181,9.1,1,203,1228,6.0,9
Jalin Moore,Appalachian State,Sun Belt,11,183,1037,5.7,12,12,163,13.6,1,195,1200,6.2,13
Darrel Williams,LSU,SEC,13,145,820,5.7,9,23,331,14.4,0,168,1151,6.9,9
Trey Ragas,Louisiana,Sun Belt,11,142,813,5.7,9,9,32,3.6,0,151,845,5.6,9
Brandon Wimbush,Notre Dame,Ind,12,140,804,5.7,14,0,0,,0,140,804,5.7,14
Ray Lawry,Old Dominion,CUSA,8,131,742,5.7,7,11,55,5.0,1,142,797,5.6,8
Terry Swanson,Toledo,MAC,13,242,1363,5.6,14,20,194,9.7,0,262,1557,5.9,14
Nyheim Hines,North Carolina State,ACC,13,197,1113,5.6,12,26,152,5.8,0,223,1265,5.7,12
Ish Witter,Missouri,SEC,13,188,1049,5.6,6,11,87,7.9,1,199,1136,5.7,7
Jalen Hurts,Alabama,SEC,14,154,855,5.6,8,1,-1,-1.0,0,155,854,5.5,8
Alex Barnes,Kansas State,Big 12,13,146,819,5.6,7,5,29,5.8,0,151,848,5.6,7
Jacques Patrick,Florida State,ACC,11,134,748,5.6,7,21,171,8.1,0,155,919,5.9,7
Larry Rountree III,Missouri,SEC,13,126,703,5.6,6,5,57,11.4,0,131,760,5.8,6
David Williams,Arkansas,SEC,12,117,656,5.6,8,10,171,17.1,2,127,827,6.5,10
Justice Hill,Oklahoma State,Big 12,13,268,1467,5.5,15,31,190,6.1,1,299,1657,5.5,16
Zack Moss,Utah,Pac-12,13,214,1173,5.5,10,29,243,8.4,0,243,1416,5.8,10
Quinton Flowers,South Florida,American,12,196,1078,5.5,11,0,0,,0,196,1078,5.5,11
Justin Crawford,West Virginia,Big 12,12,191,1060,5.5,7,8,38,4.8,0,199,1098,5.5,7
Patrick Taylor Jr.,Memphis,American,12,157,866,5.5,13,19,148,7.8,1,176,1014,5.8,14
Kenny Young,Miami (OH),MAC,11,143,781,5.5,6,29,259,8.9,2,172,1040,6.0,8
Tyrone Owens,New Mexico,MWC,12,139,770,5.5,4,7,20,2.9,0,146,790,5.4,4
Khalil Herbert,Kansas,Big 12,11,120,663,5.5,4,8,38,4.8,0,128,701,5.5,4
Tavares Thomas,Middle Tennessee State,CUSA,8,93,507,5.5,9,5,54,10.8,0,98,561,5.7,9
Brad Anderson,Middle Tennessee State,CUSA,9,89,491,5.5,0,33,338,10.2,3,122,829,6.8,3
Diocemy Saint Juste,Hawaii,MWC,12,282,1510,5.4,7,28,157,5.6,1,310,1667,5.4,8
Marquis Young,Massachusetts,Ind,12,182,982,5.4,9,35,280,8.0,2,217,1262,5.8,11
Matt Colburn,Wake Forest,ACC,13,166,904,5.4,7,11,67,6.1,0,177,971,5.5,7
Josh Cleveland,Bowling Green State,MAC,12,147,793,5.4,4,12,101,8.4,0,159,894,5.6,4
Brittain Brown,Duke,ACC,13,130,701,5.4,7,14,161,11.5,0,144,862,6.0,7
Andy Davidson,Army,Ind,13,116,627,5.4,5,0,0,,0,116,627,5.4,5
A.J. Turner,South Carolina,SEC,13,98,531,5.4,3,18,117,6.5,0,116,648,5.6,3
Tony Brooks-James,Oregon,Pac-12,12,93,498,5.4,2,15,144,9.6,1,108,642,5.9,3
Xavier Johnson,South Alabama,Sun Belt,8,82,445,5.4,6,5,23,4.6,0,87,468,5.4,6
AJ Dillon,Boston College,ACC,13,300,1589,5.3,14,0,0,,0,300,1589,5.3,14
D'Angelo Brewer,Tulsa,American,11,288,1517,5.3,9,9,88,9.8,0,297,1605,5.4,9
Spencer Brown,UAB,CUSA,13,250,1329,5.3,10,4,42,10.5,0,254,1371,5.4,10
Derrius Guice,LSU,SEC,12,237,1251,5.3,11,18,124,6.9,2,255,1375,5.4,13
Aaron Duckworth,Idaho,Sun Belt,12,193,1025,5.3,4,16,207,12.9,0,209,1232,5.9,4
Cam Akers,Florida State,ACC,13,194,1025,5.3,7,16,116,7.3,1,210,1141,5.4,8
Darius Tice,South Florida,American,12,178,943,5.3,11,2,13,6.5,0,180,956,5.3,11
Armani Rogers,UNLV,MWC,10,146,780,5.3,8,0,0,,0,146,780,5.3,8
Ben LeMay,Charlotte,CUSA,12,137,732,5.3,2,9,88,9.8,2,146,820,5.6,4
Jamauri Bogan,Western Michigan,MAC,9,112,589,5.3,3,1,-3,-3.0,0,113,586,5.2,3
Kobe McCrary,Minnesota,Big Ten,10,94,496,5.3,8,4,27,6.8,0,98,523,5.3,8
Moe Neal,Syracuse,ACC,11,92,488,5.3,1,12,170,14.2,1,104,658,6.3,2
Jarvion Franklin,Western Michigan,MAC,12,235,1228,5.2,11,5,35,7.0,1,240,1263,5.3,12
Dontrell Hilliard,Tulane,American,12,211,1091,5.2,12,8,115,14.4,2,219,1206,5.5,14
KirVonte Benson,Georgia Tech,ACC,11,204,1053,5.2,6,2,16,8.0,0,206,1069,5.2,6
Demario Richard,Arizona State,Pac-12,12,198,1027,5.2,12,8,67,8.4,0,206,1094,5.3,12
A.J. Ouellette,Ohio,MAC,13,192,1006,5.2,7,10,97,9.7,1,202,1103,5.5,8
Kelton Moore,Nevada,MWC,12,164,855,5.2,4,19,189,9.9,1,183,1044,5.7,5
Tyler King,Marshall,CUSA,11,158,820,5.2,7,12,97,8.1,0,170,917,5.4,7
Darnell Woolfolk,Army,Ind,10,157,812,5.2,14,0,0,,0,157,812,5.2,14
Osharmar Abercrombie,Coastal Carolina,Sun Belt,12,140,724,5.2,7,8,73,9.1,0,148,797,5.4,7
Warren Wand,Arkansas State,Sun Belt,10,138,715,5.2,6,16,144,9.0,1,154,859,5.6,7
Marcus Williams Jr.,Appalachian State,Sun Belt,8,97,500,5.2,2,4,27,6.8,0,101,527,5.2,2
Benjamin Snell Jr.,Kentucky,SEC,13,262,1333,5.1,19,10,72,7.2,0,272,1405,5.2,19
Alexander Mattison,Boise State,MWC,14,212,1086,5.1,12,28,284,10.1,1,240,1370,5.7,13
Chris Evans,Michigan,Big Ten,13,135,685,5.1,6,16,157,9.8,1,151,842,5.6,7
Richard McQuarley,New Mexico,MWC,10,92,473,5.1,6,3,5,1.7,0,95,478,5.0,6
Aaron McAllister,Charlotte,CUSA,11,90,458,5.1,2,1,6,6.0,0,91,464,5.1,2
Larry Rose III,New Mexico State,Sun Belt,12,186,934,5.0,10,55,522,9.5,2,241,1456,6.0,12
Shaun Wilson,Duke,ACC,13,162,818,5.0,6,36,263,7.3,4,198,1081,5.5,10
Jordan Chunn,Troy,Sun Belt,10,154,774,5.0,10,28,204,7.3,0,182,978,5.4,10
Nick Smith,North Texas,CUSA,14,138,684,5.0,6,18,140,7.8,2,156,824,5.3,8
Markell Jones,Purdue,Big Ten,10,113,566,5.0,1,13,54,4.2,0,126,620,4.9,1
Alex Delton,Kansas State,Big 12,7,100,500,5.0,8,1,-11,-11.0,0,101,489,4.8,8
Tyson Williams,South Carolina,SEC,12,95,471,5.0,1,12,32,2.7,1,107,503,4.7,2
Soso Jamabo,UCLA,Pac-12,10,90,446,5.0,6,17,204,12.0,0,107,650,6.1,6
Phillip Lindsay,Colorado,Pac-12,12,301,1474,4.9,14,23,257,11.2,1,324,1731,5.3,15
Kerryon Johnson,Auburn,SEC,12,285,1391,4.9,18,24,194,8.1,2,309,1585,5.1,20
Lajuan Hunt,Utah State,MWC,13,169,828,4.9,11,30,187,6.2,1,199,1015,5.1,12
Ryan Nall,Oregon State,Pac-12,11,165,810,4.9,8,27,240,8.9,2,192,1050,5.5,10
