Player,School,Conf,G,Rush Att,Rush Yds,Rush Avg,Rush TD,Pass Rec,Pass Yds,Pass Avg,Pass TD,Plays,Yds,Avg,TD
Darrell Henderson,Memphis,American,13,214,1909,8.9,22,19,295,15.5,3,233,2204,9.5,25
Greg McCrae,UCF,American,13,133,1182,8.9,10,8,116,14.5,1,141,1298,9.2,11
Kennedy Brooks,Oklahoma,Big 12,11,119,1056,8.9,12,10,57,5.7,0,129,1113,8.6,12
Reggie Corbin,Illinois,Big Ten,12,128,1085,8.5,9,16,176,11.0,0,144,1261,8.8,9
Travis Etienne,Clemson,ACC,15,204,1658,8.1,24,12,78,6.5,2,216,1736,8.0,26
Ke'Shawn Vaughn,Vanderbilt,SEC,12,157,1244,7.9,12,13,170,13.1,2,170,1414,8.3,14
Anthony McFarland,Maryland,Big Ten,12,131,1034,7.9,4,7,73,10.4,0,138,1107,8.0,4
Darrin Hall,Pitt,ACC,14,153,1144,7.5,10,15,66,4.4,0,168,1210,7.2,10
Kyler Murray,Oklahoma,Big 12,14,140,1001,7.2,12,0,0,,0,140,1001,7.2,12
Jonathan Taylor,Wisconsin,Big Ten,13,307,2194,7.1,16,8,60,7.5,0,315,2254,7.2,16
Michael Carter,North Carolina,ACC,9,84,597,7.1,2,25,135,5.4,1,109,732,6.7,3
Pooka Williams,Kansas,Big 12,11,161,1125,7.0,7,33,289,8.8,2,194,1414,7.3,9
Devine Ozigbo,Nebraska,Big Ten,12,155,1082,7.0,12,23,203,8.8,0,178,1285,7.2,12
Darwin Thompson,Utah State,MWC,13,153,1044,6.8,14,23,351,15.3,2,176,1395,7.9,16
Johnny Ford,South Florida,American,11,115,787,6.8,8,3,78,26.0,1,118,865,7.3,9
Elijah Mitchell,Louisiana,Sun Belt,13,146,985,6.7,13,20,349,17.5,3,166,1334,8.0,16
Najee Harris,Alabama,SEC,15,117,783,6.7,4,4,7,1.8,0,121,790,6.5,4
Darrynton Evans,Appalachian State,Sun Belt,13,179,1187,6.6,7,12,87,7.3,1,191,1274,6.7,8
Maleek Irons,Ohio,MAC,11,126,831,6.6,8,6,41,6.8,1,132,872,6.6,9
Aca'Cedric Ware,USC,Pac-12,11,125,825,6.6,6,9,35,3.9,0,134,860,6.4,6
Taiwan Deal,Wisconsin,Big Ten,12,82,545,6.6,6,2,10,5.0,0,84,555,6.6,6
Trayveon Williams,Texas A&M,SEC,13,271,1760,6.5,18,27,278,10.3,1,298,2038,6.8,19
Nico Evans,Wyoming,MWC,10,204,1325,6.5,8,7,66,9.4,1,211,1391,6.6,9
Kerrith Whyte,Florida Atlantic,CUSA,12,134,866,6.5,8,10,160,16.0,2,144,1026,7.1,10
D'Andre Swift,Georgia,SEC,14,163,1049,6.4,10,32,297,9.3,3,195,1346,6.9,13
Elijah Holyfield,Georgia,SEC,14,159,1018,6.4,7,5,40,8.0,0,164,1058,6.5,7
Nathan Rourke,Ohio,MAC,13,134,860,6.4,15,0,0,,0,134,860,6.4,15
Martell Pettaway,West Virginia,Big 12,12,98,623,6.4,6,6,61,10.2,1,104,684,6.6,7
Qadree Ollison,Pitt,ACC,14,194,1213,6.3,11,11,66,6.0,0,205,1279,6.2,11
Malcolm Perry,Navy,American,13,172,1087,6.3,7,9,167,18.6,1,181,1254,6.9,8
Dexter Williams,Notre Dame,Ind,9,158,995,6.3,12,16,133,8.3,1,174,1128,6.5,13
Gerold Bright,Utah State,MWC,13,141,888,6.3,10,22,232,10.5,3,163,1120,6.9,13
Corey Dauphine,Tulane,American,13,124,785,6.3,7,0,0,,0,124,785,6.3,7
Kylin Hill,Mississippi State,SEC,11,117,734,6.3,4,22,176,8.0,4,139,910,6.5,8
Malik Cunningham,Louisville,ACC,10,79,497,6.3,5,0,0,,0,79,497,6.3,5
Lamical Perine,Florida,SEC,13,134,826,6.2,7,13,170,13.1,1,147,996,6.8,8
D'Vonte Price,Florida International,CUSA,13,90,560,6.2,5,15,116,7.7,0,105,676,6.4,5
Aeris Williams,Mississippi State,SEC,12,85,524,6.2,3,9,100,11.1,1,94,624,6.6,4
A.J. Ouellette,Ohio,MAC,13,213,1306,6.1,12,21,212,10.1,2,234,1518,6.5,14
Jordan Cronkrite,South Florida,American,12,184,1121,6.1,9,7,30,4.3,0,191,1151,6.0,9
Zack Moss,Utah,Pac-12,9,179,1096,6.1,11,8,50,6.3,1,187,1146,6.1,12
