Name,Position,Team,Bye
Joshua Jacobs,RB,OAK,6
N'Keal Harry,WR,NE,10
David Montgomery,RB,CHI,6
Miles Sanders,RB,PHI,10
D.K. Metcalf,WR,SEA,11
A.J. Brown,WR,TEN,11
T.J. Hockenson,TE,DET,5
Parris Campbell,WR,IND,6
Darrell Henderson,RB,LAR,9
Kyler Murray,QB,ARI,12
Marquise Brown,WR,BAL,8
Deebo Samuel,WR,SF,4
Noah Fant,TE,DEN,10
Damien Harris,RB,NE,10
J.J. Arcega-Whiteside,WR,PHI,10
Hakeem Butler,WR,ARI,12
Devin Singletary,RB,BUF,6
Andy Isabella,WR,ARI,12
Justice Hill,RB,BAL,8
Mecole Hardman,WR,KC,12
Irv Smith Jr.,TE,MIN,12
Kelvin Harmon,WR,WAS,10
Dwayne Haskins,QB,WAS,10
Miles Boykin,WR,BAL,8
Benny Snell Jr.,RB,PIT,7
Diontae Johnson,WR,PIT,7
Jace Sternberger,TE,GB,11
Terry McLaurin,WR,WAS,10
Bryce Love,RB,WAS,10
Rodney Anderson,RB,CIN,9
Drew Lock,QB,DEN,10
Riley Ridley,WR,CHI,6
Alexander Mattison,RB,MIN,12
Jalen Hurd,WR,SF,4
Trayveon Williams,RB,CIN,9
Ryquell Armstead,RB,JAC,10
Daniel Jones,QB,NYG,11
Dexter Williams,RB,GB,11
Darwin Thompson,RB,KC,12
Emanuel Hall,WR,CHI,6
KeeSean Johnson,WR,ARI,12
Myles Gaskin,RB,MIA,5
Mike Weber,RB,DAL,8
Josh Oliver,TE,JAC,10
Travis Homer,RB,SEA,11
Gary Jennings,WR,SEA,11
Will Grier,QB,CAR,7
Elijah Holyfield,RB,CAR,7
Dawson Knox,TE,BUF,6
Tony Pollard,RB,DAL,8
DaMarkus Lodge,WR,TB,7
Caleb Wilson,TE,ARI,12
David Sills,WR,BUF,6
Karan Higdon,RB,HOU,10
Hunter Renfrow,WR,OAK,6
Jordan Scarlett,RB,CAR,7
Lil'Jordan Humphrey,WR,NO,9
Antoine Wesley,WR,BAL,8
Foster Moreau,TE,OAK,6
Kahale Warring,TE,HOU,10
Darius Slayton,WR,NYG,11
Qadree Ollison,RB,ATL,9
Alex Barnes,RB,TEN,11
Kaden Smith,TE,SF,4
Preston Williams,WR,MIA,5
Greg Dortch,WR,NYJ,4
Jarrett Stidham,QB,NE,10
Bruce Anderson,RB,TB,7
Devine Ozigbo,RB,NO,9
Dillon Mitchell,WR,MIN,12
Drew Sample,TE,CIN,9
Ryan Finley,QB,CIN,9
Alize Mack,TE,NO,9
Terry Godwin,WR,CAR,7
Isaac Nauta,TE,DET,5
Wes Hills,RB,ARI,12
Gardner Minshew,QB,JAC,10
Jazz Ferguson,WR,SEA,11
Ty Johnson,RB,DET,5
Tyree Jackson,QB,BUF,6
Damarea Crockett,RB,HOU,10
Cody Thompson,WR,KC,12
Ashton Dulin,WR,IND,6
Stanley Morgan Jr.,WR,CIN,9
Anthony Johnson,WR,TB,7
Emmanuel Butler,WR,NO,9
C.J. Conrad,TE,NYG,11
Dax Raymond,TE,CHI,6
Easton Stick,QB,LAC,12
Tyre Brady,WR,JAC,10
Brett Rypien,QB,DEN,10
Nick Brossette,RB,NE,10
Darrin Hall,RB,CIN,9
Jalin Moore,RB,NYJ,4
Keelan Doss,WR,OAK,6
Kerrith Whyte,RB,CHI,6
Trevon Wesco,TE,NYJ,4
Clayton Thorson,QB,PHI,10
