Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Aaron Rodgers,34,199,2,0,0,0,4,16,1,0,0,0,0,0,0,0,0
2016,2,Aaron Rodgers,36,213,1,1,0,0,3,29,1,0,0,0,0,0,0,0,3
2016,3,Aaron Rodgers,24,205,4,0,0,0,5,22,0,0,0,0,0,0,0,0,0
2016,5,Aaron Rodgers,45,259,2,2,0,0,5,15,0,0,0,0,0,0,0,0,0
2016,6,Aaron Rodgers,42,294,1,1,0,0,3,7,0,0,0,0,0,0,0,0,2
2016,7,Aaron Rodgers,56,326,3,0,0,0,2,7,0,0,0,0,0,0,0,0,1
2016,8,Aaron Rodgers,38,246,4,0,0,0,6,60,0,1,1,0,0,0,0,0,0
2016,9,Aaron Rodgers,43,297,3,1,1,0,6,43,0,0,0,0,0,0,0,0,0
2016,10,Aaron Rodgers,51,371,2,2,0,0,3,27,1,0,0,0,0,0,0,0,0
2016,11,Aaron Rodgers,41,351,3,0,0,0,3,33,0,0,0,0,0,0,0,0,1
2016,12,Aaron Rodgers,39,313,2,0,0,0,6,26,0,0,0,0,0,0,0,0,0
2016,13,Aaron Rodgers,30,209,2,0,0,0,3,16,0,0,0,0,0,0,0,0,1
2016,14,Aaron Rodgers,23,246,3,0,0,0,3,-6,0,0,0,0,0,0,0,0,0
2016,15,Aaron Rodgers,31,252,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0
2016,16,Aaron Rodgers,38,347,4,0,0,0,2,13,1,0,0,0,0,0,0,0,0
2016,17,Aaron Rodgers,39,300,4,0,1,1,10,42,0,0,0,0,0,0,0,0,0
