Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0
2016,2,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,1
2016,3,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2016,4,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2016,5,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,7,127,1,0,0,0
2016,7,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,0
2016,8,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
2016,9,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0
2016,10,Adam Thielen,0,0,0,0,0,0,1,11,0,0,0,3,21,1,0,0,0
2016,11,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,5,65,1,0,0,0
2016,12,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,8,53,0,0,0,0
2016,13,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,7,86,0,0,0,1
2016,14,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,4,101,0,0,0,0
2016,16,Adam Thielen,0,0,0,0,0,0,1,4,0,0,0,12,202,2,0,0,0
2016,17,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
