Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Adrian Peterson,0,0,0,0,0,0,26,96,1,0,0,2,70,0,0,0,1
2016,2,Adrian Peterson,0,0,0,0,0,0,11,20,0,0,0,3,30,0,0,0,0
2016,3,Adrian Peterson,0,0,0,0,0,0,19,120,2,0,0,0,0,0,0,0,0
2016,5,Adrian Peterson,0,0,0,0,0,0,4,6,0,0,0,2,36,0,0,0,0
2016,6,Adrian Peterson,0,0,0,0,0,0,17,97,0,0,0,0,0,0,0,0,0
2016,7,Adrian Peterson,0,0,0,0,0,0,24,99,0,0,0,1,8,0,0,0,0
2016,8,Adrian Peterson,0,0,0,0,0,0,26,149,1,0,0,1,7,1,0,0,1
2016,9,Adrian Peterson,0,0,0,0,0,0,9,17,0,0,0,3,16,0,0,0,0
2016,10,Adrian Peterson,0,0,0,0,0,0,19,68,0,0,0,2,1,0,0,0,0
2016,11,Adrian Peterson,0,0,0,0,0,0,16,51,2,0,0,0,0,0,0,0,1
2016,12,Adrian Peterson,0,0,0,0,0,0,12,35,0,0,0,2,9,0,0,0,0
2016,13,Adrian Peterson,0,0,0,0,0,0,9,98,1,0,0,0,0,0,0,0,0
2016,14,Adrian Peterson,0,0,0,0,0,0,10,16,0,0,0,1,3,0,0,0,0
2016,15,Adrian Peterson,0,0,0,0,0,0,19,51,0,0,0,2,20,0,0,0,0
2016,17,Adrian Peterson,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
