Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2016,3,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2016,4,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,2,48,1,0,0,0
2016,6,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2016,10,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2016,13,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0
2016,14,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
2016,15,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,4,111,0,0,0,0
2016,16,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
2016,17,Aldrick Robinson,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
