Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Alex Collins,0,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,1
2017,3,Alex Collins,0,0,0,0,0,0,9,82,0,0,0,0,0,0,0,0,0
2017,4,Alex Collins,0,0,0,0,0,0,9,82,0,0,0,0,0,0,0,0,1
2017,5,Alex Collins,0,0,0,0,0,0,12,55,0,0,0,0,0,0,0,0,0
2017,6,Alex Collins,0,0,0,0,0,0,15,74,0,0,0,0,0,0,0,0,0
2017,7,Alex Collins,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0
2017,8,Alex Collins,0,0,0,0,0,0,18,113,0,0,0,2,30,0,0,0,0
2017,9,Alex Collins,0,0,0,0,0,0,13,43,0,0,0,1,3,0,0,0,0
2017,11,Alex Collins,0,0,0,0,0,0,20,49,1,0,0,4,22,0,0,0,0
2017,12,Alex Collins,0,0,0,0,0,0,16,60,1,0,0,2,-3,0,0,0,0
2017,13,Alex Collins,0,0,0,0,0,0,15,75,2,0,0,2,23,0,0,0,0
2017,14,Alex Collins,0,0,0,0,0,0,18,120,1,0,0,2,46,0,0,0,1
2017,15,Alex Collins,0,0,0,0,0,0,12,19,0,0,0,5,33,0,0,0,0
2017,16,Alex Collins,0,0,0,0,0,0,18,51,0,0,0,3,15,0,0,0,1
2017,17,Alex Collins,0,0,0,0,0,0,20,78,1,0,0,2,18,0,0,0,0
