Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Alfred Blue,0,0,0,0,0,0,5,36,1,0,0,0,0,0,0,0,0
2016,2,Alfred Blue,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0
2016,3,Alfred Blue,0,0,0,0,0,0,4,13,0,0,0,1,4,0,0,0,0
2016,4,Alfred Blue,0,0,0,0,0,0,13,31,0,0,0,0,0,0,0,0,0
2016,5,Alfred Blue,0,0,0,0,0,0,20,46,0,0,0,8,73,0,0,0,0
2016,6,Alfred Blue,0,0,0,0,0,0,7,26,0,0,0,2,17,0,0,0,0
2016,7,Alfred Blue,0,0,0,0,0,0,8,28,0,0,0,0,0,0,0,0,0
2016,8,Alfred Blue,0,0,0,0,0,0,15,42,0,0,0,0,0,0,0,0,0
2016,9,Alfred Blue,0,0,0,0,0,0,15,39,0,0,0,0,0,0,0,0,0
2016,11,Alfred Blue,0,0,0,0,0,0,8,46,0,0,0,0,0,0,0,0,0
2016,12,Alfred Blue,0,0,0,0,0,0,13,49,0,0,0,1,13,0,0,0,0
2016,13,Alfred Blue,0,0,0,0,0,0,13,54,0,0,0,0,0,0,0,0,0
2016,14,Alfred Blue,0,0,0,0,0,0,6,21,1,0,0,0,0,0,0,0,0
2016,15,Alfred Blue,0,0,0,0,0,0,9,6,0,0,0,2,9,0,0,0,0
2016,16,Alfred Blue,0,0,0,0,0,0,4,14,0,0,0,4,26,0,0,0,0
2016,17,Alfred Blue,0,0,0,0,0,0,3,12,0,0,0,2,12,0,0,0,0
