Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Alfred Morris,0,0,0,0,0,0,12,38,0,0,0,0,0,0,0,0,2
2017,2,Alfred Morris,0,0,0,0,0,0,14,48,0,0,0,2,32,0,0,0,0
2017,3,Alfred Morris,0,0,0,0,0,0,14,67,1,0,0,0,0,0,0,0,0
2017,4,Alfred Morris,0,0,0,0,0,0,4,14,0,0,0,1,4,0,0,0,0
2017,5,Alfred Morris,0,0,0,0,0,0,18,61,0,0,0,3,30,0,0,0,0
2017,7,Alfred Morris,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0
2017,8,Alfred Morris,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,0,0
2017,9,Alfred Morris,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0
2017,10,Alfred Morris,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0
2017,14,Alfred Morris,0,0,0,0,0,0,2,4,0,0,0,1,3,0,0,0,0
2017,17,Alfred Morris,0,0,0,0,0,0,16,111,1,0,0,1,4,0,0,0,0
