Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
2016,2,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,3,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2016,4,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
2016,5,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
2016,7,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,1
2016,9,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0
2016,10,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
2016,12,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2016,14,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,15,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,17,Allen Hurns,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0
