Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Alvin Kamara,0,0,0,0,0,0,7,18,0,0,0,4,20,0,0,0,0
2017,2,Alvin Kamara,0,0,0,0,0,0,1,3,0,0,0,3,51,0,0,0,0
2017,3,Alvin Kamara,0,0,0,0,0,0,2,37,1,0,0,3,5,0,0,0,0
2017,4,Alvin Kamara,0,0,0,0,0,0,5,25,0,0,0,10,71,1,0,0,0
2017,6,Alvin Kamara,0,0,0,0,0,0,10,75,0,0,0,4,12,0,0,0,0
2017,7,Alvin Kamara,0,0,0,0,0,0,9,57,0,0,0,5,50,0,0,0,0
2017,8,Alvin Kamara,0,0,0,0,0,0,8,28,1,0,0,3,48,0,0,0,0
2017,9,Alvin Kamara,0,0,0,0,0,0,10,68,1,0,0,6,84,1,0,0,1
2017,10,Alvin Kamara,0,0,0,0,0,0,12,106,1,0,0,5,32,0,0,0,0
2017,11,Alvin Kamara,0,0,0,0,0,0,8,42,0,1,1,6,74,1,0,0,0
2017,12,Alvin Kamara,0,0,0,0,0,0,5,87,1,0,0,6,101,1,0,0,0
2017,13,Alvin Kamara,0,0,0,0,0,0,9,60,2,0,0,5,66,0,0,0,0
2017,14,Alvin Kamara,0,0,0,0,0,0,1,2,0,0,0,3,25,0,0,0,0
2017,15,Alvin Kamara,0,0,0,0,0,0,12,44,0,0,0,6,45,1,0,0,0
2017,16,Alvin Kamara,0,0,0,0,0,0,12,32,0,0,0,7,58,0,0,0,0
2017,17,Alvin Kamara,0,0,0,0,0,0,9,44,1,0,0,6,84,0,0,0,0
