Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Andrew Luck,47,385,4,0,1,1,3,21,0,0,0,0,0,0,0,0,0
2016,2,Andrew Luck,40,197,1,1,0,0,3,22,0,0,0,0,0,0,0,0,1
2016,3,Andrew Luck,37,331,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,4,Andrew Luck,42,234,2,1,0,0,4,23,0,0,0,0,0,0,0,0,0
2016,5,Andrew Luck,39,322,2,0,0,0,5,13,0,0,0,0,0,0,0,0,1
2016,6,Andrew Luck,32,252,1,1,0,0,7,53,1,0,0,0,0,0,0,0,0
2016,7,Andrew Luck,39,353,3,0,0,0,5,17,0,0,0,0,0,0,0,0,0
2016,8,Andrew Luck,35,210,2,1,0,0,9,60,0,0,0,0,0,0,0,0,1
2016,9,Andrew Luck,36,281,1,2,0,0,7,15,0,0,0,0,0,0,0,0,0
2016,11,Andrew Luck,28,262,2,1,0,0,8,22,0,0,0,0,0,0,0,0,0
2016,13,Andrew Luck,28,278,4,0,0,0,3,26,0,0,0,0,0,0,0,0,0
2016,14,Andrew Luck,45,276,2,2,0,0,2,32,0,0,0,0,0,0,0,0,1
2016,15,Andrew Luck,28,250,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0
2016,16,Andrew Luck,29,288,2,2,1,1,4,12,1,0,0,0,0,0,0,0,0
2016,17,Andrew Luck,40,321,2,1,0,0,3,17,0,0,0,0,0,0,0,0,1
