Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
2017,2,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
2017,3,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
2017,6,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,1,29,1,0,0,0
2017,7,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
2017,8,Anthony Miller,0,0,0,0,0,0,1,7,0,0,0,3,37,1,0,0,0
2017,9,Anthony Miller,0,0,0,0,0,0,1,9,0,0,0,5,49,0,0,0,0
2017,10,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,5,122,1,0,0,0
2017,11,Anthony Miller,0,0,0,0,0,0,1,-1,0,0,0,2,25,1,0,0,0
2017,12,Anthony Miller,1,8,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
2017,13,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2017,16,Anthony Miller,0,0,0,0,0,0,1,4,0,0,0,3,24,1,0,0,0
2017,17,Anthony Miller,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,1
