Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Austin Ekeler,0,0,0,0,0,0,5,39,0,0,0,5,87,1,0,0,0
2017,2,Austin Ekeler,0,0,0,0,0,0,11,77,0,0,0,3,21,0,0,0,0
2017,3,Austin Ekeler,0,0,0,0,0,0,4,47,0,0,0,3,24,0,0,0,1
2017,4,Austin Ekeler,0,0,0,0,0,0,8,25,0,0,0,2,31,1,0,0,0
2017,5,Austin Ekeler,0,0,0,0,0,0,6,15,0,0,0,1,44,1,0,0,0
2017,6,Austin Ekeler,0,0,0,0,0,0,7,60,0,0,0,0,0,0,0,0,0
2017,7,Austin Ekeler,0,0,0,0,0,0,12,42,0,0,0,5,26,0,0,0,0
2017,9,Austin Ekeler,0,0,0,0,0,0,3,21,0,0,0,1,13,0,0,0,0
2017,10,Austin Ekeler,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0
2017,11,Austin Ekeler,0,0,0,0,0,0,6,29,0,0,0,2,40,0,0,0,0
2017,12,Austin Ekeler,0,0,0,0,0,0,5,35,1,0,0,10,68,0,0,0,0
2017,13,Austin Ekeler,0,0,0,0,0,0,13,21,0,0,0,5,22,0,0,0,0
2017,14,Austin Ekeler,0,0,0,0,0,0,15,66,1,0,0,2,28,0,0,0,0
2017,17,Austin Ekeler,0,0,0,0,0,0,8,58,1,0,0,0,0,0,0,0,0
