Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Ben Roethlisberger,37,300,3,1,0,0,1,-2,0,0,0,0,0,0,0,0,2
2016,2,Ben Roethlisberger,37,259,3,2,0,0,1,14,0,0,0,0,0,0,0,0,0
2016,3,Ben Roethlisberger,44,257,0,1,0,0,1,7,0,0,0,0,0,0,0,0,2
2016,4,Ben Roethlisberger,27,300,5,0,1,1,1,-1,0,0,0,0,0,0,0,0,0
2016,5,Ben Roethlisberger,47,380,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6,Ben Roethlisberger,34,189,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,9,Ben Roethlisberger,45,264,1,1,0,0,3,3,1,0,0,0,0,0,0,0,2
2016,10,Ben Roethlisberger,46,408,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0
2016,11,Ben Roethlisberger,36,167,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,12,Ben Roethlisberger,20,221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,13,Ben Roethlisberger,36,289,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,14,Ben Roethlisberger,31,220,0,3,0,0,3,-2,0,0,0,0,0,0,0,0,0
2016,15,Ben Roethlisberger,36,286,1,0,1,0,4,-5,0,0,0,0,0,0,0,0,1
2016,16,Ben Roethlisberger,33,279,3,2,0,0,1,-1,0,0,0,0,0,0,0,0,0
