Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0
2017,2,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
2017,3,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,5,71,0,0,0,0
2017,4,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
2017,5,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
2017,7,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,6,43,1,0,0,0
2017,9,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,3,62,1,0,0,0
2017,10,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,12,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
2017,14,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
2017,15,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
2017,16,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2017,17,Benjamin Watson,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
