Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Blake Bortles,39,320,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0
2016,2,Blake Bortles,50,329,2,2,0,0,3,34,0,0,0,0,0,0,0,0,1
2016,3,Blake Bortles,38,194,2,3,0,0,3,17,0,0,0,0,0,0,0,0,0
2016,4,Blake Bortles,33,207,2,0,0,0,7,36,1,0,0,0,0,0,0,0,0
2016,6,Blake Bortles,33,271,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1
2016,7,Blake Bortles,43,246,1,2,0,0,5,33,0,0,0,0,0,0,0,0,0
2016,8,Blake Bortles,54,337,3,0,0,0,4,22,0,1,1,0,0,0,0,0,0
2016,9,Blake Bortles,41,252,2,1,0,0,6,54,0,0,0,0,0,0,0,0,0
2016,10,Blake Bortles,49,265,2,1,1,1,3,11,0,0,0,0,0,0,0,0,2
2016,11,Blake Bortles,35,202,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0
2016,12,Blake Bortles,26,126,2,0,0,0,8,81,0,0,0,0,0,0,0,0,0
2016,13,Blake Bortles,42,181,0,2,0,0,2,29,1,0,0,0,0,0,0,0,1
2016,14,Blake Bortles,37,257,1,0,0,0,3,13,0,0,0,0,0,0,0,0,0
2016,15,Blake Bortles,28,92,0,1,0,0,2,-5,1,0,0,0,0,0,0,0,0
2016,16,Blake Bortles,38,325,1,0,0,0,3,7,0,0,0,1,20,1,0,0,1
2016,17,Blake Bortles,39,301,1,0,0,0,3,21,0,0,0,0,0,0,0,0,2
