Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2016,4,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,5,41,1,0,0,0
2016,5,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
2016,6,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0
2016,8,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
2016,9,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,11,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0
2016,15,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
2016,16,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0
2016,17,Brice Butler,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
