Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Bruce Ellington,0,0,0,0,0,0,1,-1,0,0,0,4,59,1,0,0,0
2017,4,Bruce Ellington,0,0,0,0,0,0,1,13,0,0,0,3,44,0,0,0,0
2017,5,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,2,30,0,1,0,0
2017,6,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2017,8,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,9,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2017,10,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
2017,11,Bruce Ellington,0,0,0,0,0,0,1,5,0,0,0,6,63,0,0,0,1
2017,12,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2017,13,Bruce Ellington,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
