Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2016,2,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
2016,3,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0
2016,4,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,5,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0
2016,6,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0
2016,7,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
2016,10,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2016,11,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
2016,12,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0
2016,13,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
2016,14,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
2016,15,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
2016,16,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0
2016,17,C.J. Uzomah,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
