Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Calvin Ridley,0,0,0,0,0,0,1,3,0,0,0,4,64,1,0,0,0
2016,3,Calvin Ridley,0,0,0,0,0,0,1,9,0,0,0,7,146,3,0,0,0
2016,4,Calvin Ridley,0,0,0,0,0,0,1,1,0,0,0,4,54,2,0,0,0
2016,5,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
2016,6,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,1
2016,7,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
2016,9,Calvin Ridley,0,0,0,0,0,0,1,6,0,0,0,6,71,1,0,0,0
2016,10,Calvin Ridley,0,0,0,0,0,0,1,3,0,0,0,3,37,0,0,0,0
2016,11,Calvin Ridley,0,0,0,0,0,0,1,5,0,0,0,3,32,0,0,0,0
2016,12,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,8,93,1,0,0,1
2016,13,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2016,14,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2016,15,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0
2016,16,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,3,90,1,0,0,0
2016,17,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,5,32,1,0,0,0
