Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,3,34,1,0,0,0
2017,4,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
2017,6,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0
2017,7,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,1
2017,8,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,9,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
2017,10,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2017,11,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
2017,12,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0
2017,13,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
2017,14,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0
2017,15,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,16,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
2017,17,Cameron Brate,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0
