Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Carlos Hyde,0,0,0,0,0,0,22,62,1,0,0,1,3,0,0,0,0
2016,2,Carlos Hyde,0,0,0,0,0,0,16,43,1,0,0,1,7,0,0,0,0
2016,3,Carlos Hyde,0,0,0,0,0,0,23,98,2,0,0,2,5,0,0,0,0
2016,4,Carlos Hyde,0,0,0,0,0,0,22,82,1,0,0,0,0,0,0,0,1
2016,5,Carlos Hyde,0,0,0,0,0,0,17,63,0,0,0,2,14,0,0,0,0
2016,6,Carlos Hyde,0,0,0,0,0,0,14,34,0,0,0,0,0,0,0,0,0
2016,8,Carlos Hyde,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0
2016,10,Carlos Hyde,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
2016,11,Carlos Hyde,0,0,0,0,0,0,8,44,0,0,0,0,0,0,0,0,0
2016,12,Carlos Hyde,0,0,0,0,0,0,10,33,0,0,0,0,0,0,0,0,0
2016,13,Carlos Hyde,0,0,0,0,0,0,13,36,0,0,0,1,1,0,0,0,1
2016,14,Carlos Hyde,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,0,0
2016,16,Carlos Hyde,0,0,0,0,0,0,8,47,0,0,0,0,0,0,0,0,0
2016,17,Carlos Hyde,0,0,0,0,0,0,10,13,0,0,0,2,6,0,0,0,0
