Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Carson Wentz,37,278,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2
2016,2,Carson Wentz,34,190,1,0,0,0,6,10,0,0,0,0,0,0,0,0,0
2016,3,Carson Wentz,31,301,2,0,0,0,1,10,0,0,0,0,0,0,0,0,1
2016,5,Carson Wentz,33,238,2,1,0,0,2,14,0,0,0,0,0,0,0,0,0
2016,6,Carson Wentz,22,179,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2016,7,Carson Wentz,28,138,1,2,0,0,5,6,0,1,1,0,0,0,0,0,3
2016,8,Carson Wentz,43,202,1,0,0,0,1,-3,0,0,0,0,0,0,0,0,2
2016,9,Carson Wentz,47,364,0,2,0,0,4,-4,0,0,0,0,0,0,0,0,0
2016,10,Carson Wentz,36,231,0,0,0,0,4,10,0,0,0,0,0,0,0,0,1
2016,11,Carson Wentz,45,218,2,2,1,1,1,2,0,0,0,0,0,0,0,0,1
2016,12,Carson Wentz,36,254,0,1,0,0,4,33,1,0,0,0,0,0,0,0,0
2016,13,Carson Wentz,60,308,1,3,0,0,3,16,0,0,0,1,7,0,0,0,0
2016,14,Carson Wentz,46,314,1,1,1,0,2,5,0,0,0,0,0,0,0,0,2
2016,15,Carson Wentz,42,170,0,1,1,0,4,8,1,0,0,0,0,0,0,0,2
2016,16,Carson Wentz,24,152,1,1,0,0,4,27,0,0,0,0,0,0,0,0,0
2016,17,Carson Wentz,43,245,2,0,0,0,1,13,0,0,0,0,0,0,0,0,0
