Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0
2017,2,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,1
2017,3,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,6,39,1,0,0,0
2017,4,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,5,112,0,0,0,0
2017,5,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
2017,10,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2017,11,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
2017,12,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0
2017,13,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
2017,14,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
2017,15,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
2017,16,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
2017,17,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0
