Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
2018,2,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
2018,3,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
2018,4,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,8,85,0,1,1,0
2018,5,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,8,66,0,0,0,0
2018,6,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,4,55,1,0,0,0
2018,7,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
2018,10,Chester Rogers,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0,0,0
2018,11,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
2018,12,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
2018,14,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,5,36,0,0,0,1
2018,15,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2018,16,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,7,54,1,0,0,0
2018,17,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
