Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
2017,5,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,6,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,7,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,8,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,9,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,10,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
2017,12,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2017,13,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2017,14,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
2017,15,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
2017,16,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,3,98,0,0,0,0
2017,17,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,7,111,1,0,0,0
