Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2018,2,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,3,42,2,0,0,0
2018,3,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
2018,4,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
2018,5,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
2018,6,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,4,78,0,0,0,0
2018,7,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
2018,8,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0
2018,12,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,2,47,0,0,0,0
2018,13,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
2018,15,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,2,68,1,0,0,0
2018,17,Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0
