Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Chris Ivory,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
2016,2,Chris Ivory,0,0,0,0,0,0,2,7,1,0,0,1,30,0,0,0,0
2016,3,Chris Ivory,0,0,0,0,0,0,20,56,0,0,0,3,70,0,0,0,0
2016,4,Chris Ivory,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0
2016,5,Chris Ivory,0,0,0,0,0,0,14,43,0,0,0,0,0,0,0,0,0
2016,6,Chris Ivory,0,0,0,0,0,0,6,5,0,0,0,1,4,0,0,0,0
2016,7,Chris Ivory,0,0,0,0,0,0,16,81,0,0,0,3,25,0,0,0,0
2016,8,Chris Ivory,0,0,0,0,0,0,6,34,0,0,0,1,11,0,0,0,0
2016,9,Chris Ivory,0,0,0,0,0,0,7,36,0,0,0,3,19,0,0,0,0
2016,12,Chris Ivory,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0
2016,13,Chris Ivory,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,1
2016,14,Chris Ivory,0,0,0,0,0,0,12,42,0,0,0,0,0,0,0,0,0
2016,17,Chris Ivory,0,0,0,0,0,0,14,45,0,0,0,1,46,0,0,0,0
