Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,2,Chris Moore,0,0,0,0,0,0,1,2,0,0,0,2,9,0,0,0,0
2017,4,Chris Moore,0,0,0,0,0,0,1,3,0,0,0,1,19,0,0,0,0
2017,5,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
2017,6,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0
2017,7,Chris Moore,0,0,0,0,0,0,1,9,0,0,0,1,14,0,0,0,0
2017,8,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2017,9,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0
2017,11,Chris Moore,0,0,0,0,0,0,1,8,0,0,0,1,14,0,0,0,0
2017,12,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,13,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
2017,15,Chris Moore,0,0,0,0,0,0,1,-5,0,0,0,1,5,1,0,0,0
2017,17,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
