Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Chris Thompson,0,0,0,0,0,0,3,4,0,0,0,4,52,1,0,0,0
2017,2,Chris Thompson,0,0,0,0,0,0,3,77,2,0,0,3,29,0,0,0,0
2017,3,Chris Thompson,0,0,0,0,0,0,8,38,0,0,0,6,150,1,0,0,0
2017,4,Chris Thompson,0,0,0,0,0,0,6,23,0,0,0,1,4,0,0,0,1
2017,5,Chris Thompson,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
2017,6,Chris Thompson,0,0,0,0,0,0,16,33,0,0,0,4,105,0,0,0,1
2017,7,Chris Thompson,0,0,0,0,0,0,7,38,0,0,0,5,26,1,0,0,0
2017,8,Chris Thompson,0,0,0,0,0,0,4,18,0,0,0,8,76,0,0,0,1
2017,9,Chris Thompson,0,0,0,0,0,0,4,20,0,0,0,4,11,0,0,0,0
2017,10,Chris Thompson,0,0,0,0,0,0,9,26,0,0,0,3,41,0,0,0,0
2017,11,Chris Thompson,0,0,0,0,0,0,4,17,0,0,0,1,16,1,0,0,0
2017,13,Chris Thompson,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1
2017,17,Chris Thompson,0,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
