Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,4,76,1,0,0,0
2017,2,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
2017,3,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2017,4,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,5,60,1,0,0,0
2017,5,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
2017,6,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
2017,7,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,4,51,1,0,0,0
2017,9,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
2017,10,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,0
2017,11,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,1
2017,12,Cooper Kupp,1,0,0,0,0,0,0,0,0,0,0,8,116,0,0,0,0
2017,13,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
2017,14,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,5,118,1,0,0,0
2017,15,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2017,16,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,4,65,1,0,0,0
