Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Cordarrelle Patterson,0,0,0,0,0,0,3,13,0,0,0,1,6,0,0,0,0
2017,2,Cordarrelle Patterson,0,0,0,0,0,0,1,5,0,0,0,3,18,0,0,0,0
2017,3,Cordarrelle Patterson,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2017,4,Cordarrelle Patterson,0,0,0,0,0,0,1,11,0,0,0,3,54,1,0,0,0
2017,5,Cordarrelle Patterson,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
2017,6,Cordarrelle Patterson,0,0,0,0,0,0,1,3,0,0,0,1,13,0,0,0,0
2017,7,Cordarrelle Patterson,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1
2017,8,Cordarrelle Patterson,0,0,0,0,0,0,10,38,0,0,0,0,0,0,0,0,0
2017,9,Cordarrelle Patterson,0,0,0,0,0,0,11,61,1,0,0,1,7,0,0,0,0
2017,10,Cordarrelle Patterson,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0
2017,12,Cordarrelle Patterson,0,0,0,0,0,0,5,10,0,0,0,1,-1,0,0,0,0
2017,13,Cordarrelle Patterson,0,0,0,0,0,0,1,6,0,0,0,2,53,0,0,0,0
2017,14,Cordarrelle Patterson,0,0,0,0,0,0,0,0,0,0,0,2,51,1,0,0,0
2017,15,Cordarrelle Patterson,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
2017,16,Cordarrelle Patterson,0,0,0,0,0,0,4,66,0,0,0,1,3,0,0,0,0
