Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Corey Clement,0,0,0,0,0,0,6,22,1,0,0,0,0,0,0,0,0
2017,4,Corey Clement,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0
2017,5,Corey Clement,0,0,0,0,0,0,7,17,0,0,0,1,22,0,0,0,0
2017,6,Corey Clement,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2017,7,Corey Clement,0,0,0,0,0,0,1,6,0,0,0,1,9,1,0,0,0
2017,8,Corey Clement,0,0,0,0,0,0,10,54,0,0,0,0,0,0,0,0,0
2017,9,Corey Clement,0,0,0,0,0,0,12,51,2,0,0,1,15,1,0,0,0
2017,11,Corey Clement,0,0,0,0,0,0,6,50,1,1,1,0,0,0,0,0,0
2017,12,Corey Clement,0,0,0,0,0,0,4,27,0,0,0,1,12,0,0,0,0
2017,13,Corey Clement,0,0,0,0,0,0,3,7,0,0,0,3,30,0,0,0,0
2017,14,Corey Clement,0,0,0,0,0,0,6,24,0,0,0,1,28,0,0,0,0
2017,15,Corey Clement,0,0,0,0,0,0,4,17,0,0,0,1,1,0,0,0,0
2017,16,Corey Clement,0,0,0,0,0,0,2,14,0,0,0,1,6,0,0,0,0
2017,17,Corey Clement,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
