Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,2,69,0,0,0,0
2016,2,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,5,104,2,0,0,0
2016,9,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
2016,10,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
2016,11,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
2016,12,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0
2016,14,Corey Coleman,0,0,0,0,0,0,1,1,0,0,0,3,26,0,0,0,0
2016,15,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
2016,16,Corey Coleman,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2016,17,Corey Coleman,0,0,0,0,0,0,1,9,0,0,0,5,40,0,0,0,0
