Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
2017,2,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2017,9,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
2017,10,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,1
2017,11,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
2017,12,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
2017,13,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2017,14,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2017,15,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2017,16,Corey Davis,0,0,0,0,0,0,0,0,0,0,0,6,91,0,0,0,0
