Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,5,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,2,37,1,0,0,0
2018,7,Curtis Samuel,0,0,0,0,0,0,2,9,1,0,0,1,16,0,0,0,0
2018,8,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2018,9,Curtis Samuel,0,0,0,0,0,0,1,33,1,0,0,2,25,1,0,0,0
2018,10,Curtis Samuel,0,0,0,0,0,0,1,1,0,0,0,4,18,0,0,0,1
2018,11,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,5,55,1,0,0,0
2018,12,Curtis Samuel,0,0,0,0,0,0,1,25,0,0,0,2,17,1,0,0,0
2018,13,Curtis Samuel,0,0,0,0,0,0,1,8,0,0,0,6,88,0,0,0,0
2018,14,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0,0
2018,15,Curtis Samuel,0,0,0,0,0,0,2,8,0,0,0,1,17,0,0,0,0
2018,16,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,7,41,0,0,0,0
2018,17,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,2,72,1,0,0,0
