Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,D.J. Moore,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2018,2,D.J. Moore,0,0,0,0,0,0,1,7,0,0,0,1,51,1,0,0,0
2018,3,D.J. Moore,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2018,5,D.J. Moore,0,0,0,0,0,0,1,18,0,0,0,4,49,0,0,0,0
2018,6,D.J. Moore,0,0,0,0,0,0,1,18,0,0,0,4,59,0,0,0,2
2018,7,D.J. Moore,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2018,8,D.J. Moore,0,0,0,0,0,0,2,39,0,0,0,5,90,0,0,0,0
2018,9,D.J. Moore,0,0,0,0,0,0,1,32,0,0,0,1,16,0,0,0,1
2018,10,D.J. Moore,0,0,0,0,0,0,1,5,0,0,0,4,20,0,0,0,0
2018,11,D.J. Moore,0,0,0,0,0,0,0,0,0,0,0,7,157,1,0,0,0
2018,12,D.J. Moore,0,0,0,0,0,0,1,7,0,0,0,8,91,0,0,0,0
2018,13,D.J. Moore,0,0,0,0,0,0,2,21,0,0,0,4,44,0,0,0,0
2018,14,D.J. Moore,0,0,0,0,0,0,1,0,0,0,0,5,67,0,0,0,0
2018,15,D.J. Moore,0,0,0,0,0,0,1,22,0,0,0,2,12,0,0,0,1
2018,16,D.J. Moore,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2018,17,D.J. Moore,0,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
