Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Dak Prescott,45,227,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0
2016,2,Dak Prescott,30,292,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0
2016,3,Dak Prescott,24,248,1,0,0,0,4,36,1,0,0,0,0,0,0,0,0
2016,4,Dak Prescott,32,245,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0
2016,5,Dak Prescott,24,227,1,0,0,0,7,4,1,0,0,0,0,0,0,0,2
2016,6,Dak Prescott,27,247,3,1,0,0,1,6,0,0,0,0,0,0,0,0,2
2016,8,Dak Prescott,39,287,2,1,0,0,7,38,1,0,0,0,0,0,0,0,1
2016,9,Dak Prescott,27,247,3,0,0,0,4,20,0,0,0,0,0,0,0,0,0
2016,10,Dak Prescott,32,319,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2016,11,Dak Prescott,36,301,3,0,0,0,2,16,0,0,0,0,0,0,0,0,0
2016,12,Dak Prescott,24,195,1,0,0,0,8,39,1,0,0,0,0,0,0,0,0
2016,13,Dak Prescott,18,139,1,0,0,0,6,37,0,0,0,0,0,0,0,0,2
2016,14,Dak Prescott,37,165,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1
2016,15,Dak Prescott,36,279,0,0,0,0,4,20,1,0,0,0,0,0,0,0,0
2016,16,Dak Prescott,20,212,3,0,0,0,4,35,0,0,0,0,0,0,0,0,0
2016,17,Dak Prescott,8,37,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
