Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Damien Williams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,2,Damien Williams,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2016,3,Damien Williams,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
2016,5,Damien Williams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,6,Damien Williams,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2016,13,Damien Williams,0,0,0,0,0,0,5,38,0,0,0,2,7,0,0,0,0
2016,14,Damien Williams,0,0,0,0,0,0,8,14,1,0,0,4,16,1,0,0,0
2016,15,Damien Williams,0,0,0,0,0,0,10,49,2,0,0,6,74,0,0,0,0
2016,16,Damien Williams,0,0,0,0,0,0,13,103,0,0,0,7,37,1,0,0,1
2016,17,Damien Williams,0,0,0,0,0,0,11,51,1,0,0,1,8,0,0,0,0
