Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
2016,2,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
2016,3,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
2016,4,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2016,5,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
2016,6,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,8,59,0,0,0,0
2016,7,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,6,84,1,0,0,0
2016,8,Danny Amendola,1,28,1,0,0,0,0,0,0,0,0,5,43,0,0,0,0
2016,9,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0
2016,10,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
2016,12,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2016,14,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1
2016,15,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,1
2016,16,Danny Amendola,0,0,0,0,0,0,1,-2,0,0,0,3,40,0,0,0,0
2016,17,Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
