Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2017,3,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,4,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
2017,5,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,2,24,2,0,0,0
2017,6,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,2,26,1,0,0,0
2017,8,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2017,9,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2017,11,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,13,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2017,14,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
2017,17,Darren Fells,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
