Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Darren Sproles,0,0,0,0,0,0,5,12,0,0,0,2,24,0,0,0,0
2016,2,Darren Sproles,0,0,0,0,0,0,12,40,0,0,0,2,8,0,0,0,0
2016,3,Darren Sproles,0,0,0,0,0,0,2,-1,0,0,0,6,128,1,0,0,0
2016,5,Darren Sproles,0,0,0,0,0,0,5,45,0,0,0,4,23,0,0,0,0
2016,6,Darren Sproles,0,0,0,0,0,0,4,20,0,0,0,1,4,0,0,0,0
2016,7,Darren Sproles,0,0,0,0,0,0,3,26,0,0,0,2,23,0,0,0,0
2016,8,Darren Sproles,0,0,0,0,0,0,15,86,0,0,0,5,17,0,0,0,1
2016,9,Darren Sproles,0,0,0,0,0,0,13,57,0,0,0,3,14,0,0,0,0
2016,10,Darren Sproles,0,0,0,0,0,0,2,19,0,0,0,8,57,0,0,0,0
2016,11,Darren Sproles,0,0,0,0,0,0,2,15,0,0,0,1,6,0,0,0,0
2016,12,Darren Sproles,0,0,0,0,0,0,3,6,0,0,0,5,48,0,0,0,0
2016,13,Darren Sproles,0,0,0,0,0,0,7,14,1,0,0,6,35,0,0,0,0
2016,14,Darren Sproles,0,0,0,0,0,0,5,27,0,0,0,2,13,1,0,0,0
2016,16,Darren Sproles,0,0,0,0,0,0,7,40,1,0,0,2,23,0,0,0,0
2016,17,Darren Sproles,0,0,0,0,0,0,9,32,0,0,0,3,4,0,0,0,0
