Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
2017,2,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,8,99,1,1,0,0
2017,3,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0
2017,4,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
2017,5,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,7,66,2,0,0,0
2017,6,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,5,54,1,0,0,0
2017,7,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2017,9,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,7,53,0,0,0,0
2017,10,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,5,90,1,0,0,0
2017,11,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,8,126,0,0,0,0
2017,12,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,5,82,1,0,0,0
2017,13,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
2017,14,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,10,84,2,0,0,0
2017,15,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,5,57,1,0,0,0
