Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,David Johnson,0,0,0,0,0,0,9,37,1,0,0,5,30,0,0,0,0
2016,2,David Johnson,0,0,0,0,0,0,13,48,0,0,0,1,3,0,0,0,0
2016,3,David Johnson,0,0,0,0,0,0,12,31,0,0,0,4,30,1,0,0,0
2016,4,David Johnson,0,0,0,0,0,0,22,71,1,0,0,3,41,0,0,0,1
2016,5,David Johnson,0,0,0,0,0,0,18,55,2,0,0,2,16,0,0,0,0
2016,6,David Johnson,0,0,0,0,0,0,18,54,1,0,0,2,15,0,0,0,1
2016,7,David Johnson,0,0,0,0,0,0,14,39,0,0,0,3,31,0,0,0,0
2016,8,David Johnson,0,0,0,0,0,0,16,59,0,0,0,4,41,0,0,0,0
2016,10,David Johnson,0,0,0,0,0,0,21,98,1,0,0,7,85,1,0,0,0
2016,11,David Johnson,0,0,0,0,0,0,25,137,0,0,0,1,17,0,0,0,0
2016,12,David Johnson,0,0,0,0,0,0,17,63,0,0,0,2,16,0,0,0,0
2016,13,David Johnson,0,0,0,0,0,0,20,69,0,0,0,1,3,0,0,0,0
2016,14,David Johnson,0,0,0,0,0,0,15,49,0,0,0,8,12,0,0,0,1
2016,15,David Johnson,0,0,0,0,0,0,11,33,1,0,0,3,68,0,0,0,0
2016,16,David Johnson,0,0,0,0,0,0,10,35,0,0,0,1,32,1,0,0,0
2016,17,David Johnson,0,0,0,0,0,0,17,62,0,1,1,3,6,0,0,0,0
