Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
2017,2,David Njoku,0,0,0,0,0,0,0,0,0,0,0,3,27,1,0,0,0
2017,3,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
2017,4,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
2017,5,David Njoku,0,0,0,0,0,0,1,1,0,0,0,3,48,1,0,0,0
2017,6,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,7,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0
2017,8,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2017,10,David Njoku,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2017,11,David Njoku,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,12,David Njoku,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
2017,13,David Njoku,0,0,0,0,0,0,0,0,0,0,0,4,74,1,0,0,0
2017,14,David Njoku,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2017,16,David Njoku,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,17,David Njoku,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
