Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,DeAndre Washington,0,0,0,0,0,0,3,4,0,0,0,2,18,0,0,0,0
2017,2,DeAndre Washington,0,0,0,0,0,0,6,20,0,0,0,3,15,0,0,0,1
2017,3,DeAndre Washington,0,0,0,0,0,0,1,0,0,0,0,5,24,0,0,0,0
2017,4,DeAndre Washington,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
2017,6,DeAndre Washington,0,0,0,0,0,0,3,-8,0,0,0,1,10,0,0,0,0
2017,7,DeAndre Washington,0,0,0,0,0,0,9,33,1,0,0,3,7,0,0,0,0
2017,8,DeAndre Washington,0,0,0,0,0,0,6,26,0,0,0,8,62,1,0,0,1
2017,9,DeAndre Washington,0,0,0,0,0,0,4,16,0,0,0,1,-2,0,0,0,0
2017,11,DeAndre Washington,0,0,0,0,0,0,3,7,0,0,0,2,12,0,0,0,0
2017,12,DeAndre Washington,0,0,0,0,0,0,6,23,0,0,0,3,23,0,0,0,0
2017,13,DeAndre Washington,0,0,0,0,0,0,6,16,1,0,0,0,0,0,0,0,0
2017,14,DeAndre Washington,0,0,0,0,0,0,4,9,0,0,0,1,10,0,0,0,0
2017,15,DeAndre Washington,0,0,0,0,0,0,2,3,0,0,0,2,16,0,0,0,0
2017,16,DeAndre Washington,0,0,0,0,0,0,1,-3,0,0,0,1,2,0,0,0,0
2017,17,DeAndre Washington,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0
