Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,5,146,2,0,0,0
2016,2,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,4,129,1,0,0,0
2016,3,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
2016,4,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,5,112,0,0,0,0
2016,6,DeSean Jackson,0,0,0,0,0,0,1,7,0,0,0,4,77,0,0,0,0
2016,7,DeSean Jackson,0,0,0,0,0,0,2,8,1,0,0,2,25,0,0,0,0
2016,8,DeSean Jackson,0,0,0,0,0,0,1,4,0,0,0,3,68,1,0,0,0
2016,9,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
2016,10,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
2016,11,DeSean Jackson,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
2016,12,DeSean Jackson,0,0,0,0,0,0,1,6,0,0,0,3,19,0,0,0,0
2016,16,DeSean Jackson,0,0,0,0,0,0,1,4,0,0,0,1,24,0,0,0,0
