Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,DeShone Kizer,30,222,1,1,0,0,5,17,1,0,0,0,0,0,0,0,0
2017,2,DeShone Kizer,31,182,0,3,0,0,5,26,0,0,0,0,0,0,0,0,1
2017,3,DeShone Kizer,47,242,2,3,0,0,7,44,1,0,0,0,0,0,0,0,1
2017,4,DeShone Kizer,34,118,0,1,0,0,5,10,0,0,0,0,0,0,0,0,0
2017,5,DeShone Kizer,17,87,0,1,0,0,6,29,0,0,0,0,0,0,0,0,1
2017,7,DeShone Kizer,20,114,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8,DeShone Kizer,34,179,0,0,0,0,5,18,1,0,0,0,0,0,0,0,0
2017,10,DeShone Kizer,37,232,1,1,0,0,7,57,1,0,0,0,0,0,0,0,0
2017,11,DeShone Kizer,32,179,1,2,0,0,5,22,0,0,0,0,0,0,0,0,3
2017,12,DeShone Kizer,31,268,0,0,0,0,9,39,1,0,0,0,0,0,0,0,1
2017,13,DeShone Kizer,32,215,1,1,0,0,5,46,0,0,0,0,0,0,0,0,1
2017,14,DeShone Kizer,28,214,3,2,0,0,2,7,0,0,0,0,0,0,0,0,0
2017,15,DeShone Kizer,37,146,0,2,0,0,7,35,0,0,0,0,0,0,0,0,1
2017,16,DeShone Kizer,36,182,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0
2017,17,DeShone Kizer,30,314,2,1,0,0,6,61,0,0,0,0,0,0,0,0,0
