Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
2017,5,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2017,6,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2017,7,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
2017,8,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,9,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2017,11,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2017,12,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2017,13,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2017,17,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
