Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Derek Carr,38,319,1,0,3,2,2,16,0,0,0,0,0,0,0,0,0
2016,2,Derek Carr,45,299,3,0,0,0,2,10,0,0,0,0,0,0,0,0,0
2016,3,Derek Carr,35,249,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,0
2016,4,Derek Carr,35,199,4,0,0,0,3,-2,0,0,0,0,0,0,0,0,0
2016,5,Derek Carr,40,317,2,1,1,1,2,13,0,0,0,0,0,0,0,0,0
2016,6,Derek Carr,34,225,1,1,0,0,3,8,0,0,0,0,0,0,0,0,2
2016,7,Derek Carr,37,200,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0
2016,8,Derek Carr,59,513,4,0,0,0,1,13,0,0,0,0,0,0,0,0,1
2016,9,Derek Carr,31,184,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
2016,11,Derek Carr,31,295,3,1,0,0,2,-2,0,0,0,0,0,0,0,0,0
2016,12,Derek Carr,38,315,2,1,1,1,4,-13,0,0,0,0,0,0,0,0,2
2016,13,Derek Carr,35,260,2,0,1,1,2,4,0,0,0,0,0,0,0,0,0
2016,14,Derek Carr,41,117,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2016,15,Derek Carr,30,213,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0
2016,16,Derek Carr,30,228,3,0,0,0,1,8,0,0,0,0,0,0,0,0,0
