Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Deshaun Watson,34,176,1,1,0,0,8,40,0,0,0,0,0,0,0,0,1
2018,2,Deshaun Watson,32,310,2,1,0,0,5,44,0,0,0,0,0,0,0,0,2
2018,3,Deshaun Watson,40,385,2,1,1,0,5,36,0,0,0,0,0,0,0,0,0
2018,4,Deshaun Watson,42,375,2,1,0,0,6,41,1,0,0,0,0,0,0,0,0
2018,5,Deshaun Watson,44,375,1,1,0,0,10,40,0,0,0,0,0,0,0,0,1
2018,6,Deshaun Watson,25,177,1,2,0,0,2,2,0,0,0,0,0,0,0,0,3
2018,7,Deshaun Watson,24,139,1,0,0,0,7,13,0,0,0,0,0,0,0,0,0
2018,8,Deshaun Watson,20,239,5,0,0,0,1,14,0,0,0,0,0,0,0,0,0
2018,9,Deshaun Watson,24,213,2,0,0,0,6,38,0,0,0,0,0,0,0,0,0
2018,11,Deshaun Watson,24,208,1,2,0,0,3,7,0,0,0,0,0,0,0,0,1
2018,12,Deshaun Watson,24,210,2,0,0,0,9,70,1,0,0,0,0,0,0,0,0
2018,13,Deshaun Watson,31,224,1,0,0,0,7,30,0,0,0,0,0,0,0,0,0
2018,14,Deshaun Watson,38,267,1,0,0,0,5,35,0,0,0,0,0,0,0,0,0
2018,15,Deshaun Watson,28,294,2,0,0,0,4,26,0,0,0,0,0,0,0,0,0
2018,16,Deshaun Watson,40,339,2,0,0,0,8,49,2,0,0,0,0,0,0,0,1
2018,17,Deshaun Watson,35,234,0,0,0,0,13,66,1,0,0,0,0,0,0,0,0
