Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,2,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0
2016,4,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,56,0,0,0,0
2016,6,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,28,1,1,1,0
2016,8,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
2016,9,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
2016,10,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,3,56,1,0,0,0
2016,11,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
2016,12,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2016,13,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
2016,14,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,2,33,1,0,0,0
2016,16,Devin Funchess,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
