Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Devonta Freeman,0,0,0,0,0,0,11,20,0,0,0,4,20,0,0,0,0
2016,2,Devonta Freeman,0,0,0,0,0,0,17,93,0,0,0,0,0,0,0,0,0
2016,3,Devonta Freeman,0,0,0,0,0,0,14,152,0,0,0,5,55,1,0,0,0
2016,4,Devonta Freeman,0,0,0,0,0,0,13,57,1,0,0,2,7,0,0,0,0
2016,5,Devonta Freeman,0,0,0,0,0,0,23,88,1,0,0,3,35,0,0,0,0
2016,6,Devonta Freeman,0,0,0,0,0,0,12,40,0,0,0,3,10,0,0,0,0
2016,7,Devonta Freeman,0,0,0,0,0,0,15,58,0,0,0,5,42,0,0,0,0
2016,8,Devonta Freeman,0,0,0,0,0,0,11,35,1,0,0,4,23,1,0,0,0
2016,9,Devonta Freeman,0,0,0,0,0,0,17,77,0,0,0,2,28,0,0,0,0
2016,10,Devonta Freeman,0,0,0,0,0,0,12,49,0,0,0,3,32,0,0,0,0
2016,12,Devonta Freeman,0,0,0,0,0,0,16,60,2,0,0,2,17,0,0,0,0
2016,13,Devonta Freeman,0,0,0,0,0,0,15,56,2,0,0,4,49,0,1,0,0
2016,14,Devonta Freeman,0,0,0,0,0,0,6,6,0,0,0,2,12,0,0,0,0
2016,15,Devonta Freeman,0,0,0,0,0,0,20,139,3,0,0,2,16,0,0,0,1
2016,16,Devonta Freeman,0,0,0,0,0,0,13,53,0,0,0,8,35,0,0,0,0
2016,17,Devonta Freeman,0,0,0,0,0,0,12,96,1,0,0,5,81,0,0,0,0
