Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2016,2,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,7,102,0,0,0,0
2016,3,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,3,40,1,0,0,0
2016,8,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,4,113,1,0,0,0
2016,9,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
2016,10,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,6,116,1,2,0,0
2016,11,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,6,80,2,0,0,0
2016,12,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
2016,13,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,4,84,1,0,0,0
2016,14,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1
2016,15,Dez Bryant,0,0,0,0,0,0,0,0,0,0,0,8,82,0,0,0,0
2016,16,Dez Bryant,1,10,1,0,0,0,0,0,0,0,0,4,70,2,0,0,0
