Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0
2017,2,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2017,3,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
2017,4,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
2017,5,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
2017,6,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
2017,7,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2017,9,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2017,10,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0
2017,12,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2017,13,Donte Moncrief,0,0,0,0,0,0,0,0,0,0,0,5,37,0,0,0,0
