Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Doug Martin,0,0,0,0,0,0,4,20,0,0,0,2,-3,0,0,0,0
2017,2,Doug Martin,0,0,0,0,0,0,7,24,0,0,0,1,0,0,0,0,0
2017,3,Doug Martin,0,0,0,0,0,0,9,43,0,0,0,0,0,0,0,0,0
2017,4,Doug Martin,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0
2017,5,Doug Martin,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2017,6,Doug Martin,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,8,Doug Martin,0,0,0,0,0,0,13,72,0,0,0,2,17,0,0,0,1
2017,9,Doug Martin,0,0,0,0,0,0,11,49,0,0,0,1,20,0,0,0,0
2017,10,Doug Martin,0,0,0,0,0,0,15,61,0,0,0,3,31,0,0,0,0
2017,11,Doug Martin,0,0,0,0,0,0,10,52,0,0,0,1,6,0,0,0,0
2017,12,Doug Martin,0,0,0,0,0,0,11,51,1,0,0,3,21,0,0,0,0
2017,13,Doug Martin,0,0,0,0,0,0,18,61,1,0,0,2,6,0,0,0,1
2017,14,Doug Martin,0,0,0,0,0,0,16,32,1,0,0,0,0,0,0,0,0
2017,15,Doug Martin,0,0,0,0,0,0,9,39,0,0,0,0,0,0,0,0,0
2017,16,Doug Martin,0,0,0,0,0,0,21,107,1,0,0,1,9,0,0,0,0
2017,17,Doug Martin,0,0,0,0,0,0,21,100,0,0,0,1,1,0,0,0,1
