Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Duke Johnson,0,0,0,0,0,0,3,22,0,0,0,3,28,0,0,0,0
2016,2,Duke Johnson,0,0,0,0,0,0,3,12,0,0,0,4,44,0,0,0,0
2016,3,Duke Johnson,0,0,0,0,0,0,10,69,0,0,0,5,12,0,0,0,0
2016,4,Duke Johnson,0,0,0,0,0,0,9,53,0,0,0,6,31,0,0,0,1
2016,5,Duke Johnson,0,0,0,0,0,0,4,1,0,0,0,2,21,0,0,0,0
2016,6,Duke Johnson,0,0,0,0,0,0,4,18,1,0,0,4,56,0,0,0,0
2016,7,Duke Johnson,0,0,0,0,0,0,6,15,0,0,0,4,18,0,0,0,0
2016,8,Duke Johnson,0,0,0,0,0,0,4,29,0,0,0,6,87,0,0,0,0
2016,9,Duke Johnson,0,0,0,0,0,0,5,30,0,0,0,2,16,0,0,0,0
2016,10,Duke Johnson,0,0,0,0,0,0,2,6,0,0,0,3,25,0,0,0,0
2016,11,Duke Johnson,0,0,0,0,0,0,2,10,0,0,0,3,46,0,0,0,0
2016,12,Duke Johnson,1,0,0,0,0,0,5,14,0,0,0,3,26,0,0,0,0
2016,14,Duke Johnson,0,0,0,0,0,0,4,24,0,0,0,1,21,0,0,0,0
2016,15,Duke Johnson,0,0,0,0,0,0,5,31,0,0,0,5,62,0,0,0,1
2016,16,Duke Johnson,0,0,0,0,0,0,7,28,0,0,0,2,21,0,0,0,0
2016,17,Duke Johnson,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
