Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Dwayne Washington,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2016,2,Dwayne Washington,0,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0,0
2016,3,Dwayne Washington,0,0,0,0,0,0,10,38,0,0,0,1,-3,0,0,0,0
2016,4,Dwayne Washington,0,0,0,0,0,0,2,6,0,0,0,1,8,0,0,0,0
2016,9,Dwayne Washington,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0
2016,11,Dwayne Washington,0,0,0,0,0,0,13,6,0,0,0,2,15,0,0,0,0
2016,12,Dwayne Washington,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0
2016,13,Dwayne Washington,0,0,0,0,0,0,7,21,0,0,0,2,19,0,0,0,0
2016,14,Dwayne Washington,0,0,0,0,0,0,16,64,0,0,0,1,10,0,0,0,0
2016,15,Dwayne Washington,0,0,0,0,0,0,14,31,0,0,0,2,9,0,0,0,0
2016,16,Dwayne Washington,0,0,0,0,0,0,7,22,0,0,0,1,4,0,0,0,0
