Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
2017,3,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,4,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
2017,5,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,5,175,0,0,0,0
2017,6,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0
2017,7,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
2017,8,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
2017,10,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0
2017,12,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0
2017,13,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2017,17,Ed Dickson,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
