Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Elijah McGuire,0,0,0,0,0,0,6,29,0,0,0,1,7,0,0,0,0
2017,3,Elijah McGuire,0,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,1
2017,4,Elijah McGuire,0,0,0,0,0,0,10,93,1,0,0,2,38,0,0,0,0
2017,5,Elijah McGuire,0,0,0,0,0,0,11,20,0,0,0,2,10,0,0,0,0
2017,6,Elijah McGuire,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0
2017,7,Elijah McGuire,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0
2017,8,Elijah McGuire,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2017,9,Elijah McGuire,0,0,0,0,0,0,13,30,0,0,0,1,9,0,0,0,0
2017,10,Elijah McGuire,0,0,0,0,0,0,8,22,0,0,0,4,36,0,0,0,0
2017,12,Elijah McGuire,0,0,0,0,0,0,5,21,0,0,0,1,13,0,0,0,0
2017,13,Elijah McGuire,0,0,0,0,0,0,5,20,0,1,1,0,0,0,0,0,0
2017,14,Elijah McGuire,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0,0
2017,15,Elijah McGuire,0,0,0,0,0,0,4,24,0,0,0,3,48,1,0,0,0
2017,17,Elijah McGuire,0,0,0,0,0,0,4,-6,0,0,0,3,16,0,0,0,0
