Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,5,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,3,89,0,0,0,0
2018,6,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
2018,8,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
2018,9,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2018,10,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
2018,11,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2018,12,Equanimeous St. Brown,0,0,0,0,0,0,1,5,0,0,0,3,53,0,0,0,0
2018,14,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2018,15,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2018,16,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,5,94,0,0,0,0
